20160112_174016;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4
63618515;1.610;2.550;1.521;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.42;0.00
63618525;1.657;2.636;1.553;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.42;0.00
63618535;1.846;3.116;1.748;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.42;0.00
63618545;1.587;2.472;1.463;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.42;0.00
63618555;1.591;2.460;1.463;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.42;0.00
63618565;1.850;3.003;1.662;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.42;0.00
63618575;1.598;2.425;1.459;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.42;0.00
63618585;1.516;2.253;1.393;0.000;31.1;31.1;31.1;31.1;12.51;12.44;12.42;0.00
63618595;1.480;2.302;1.386;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.46;0.00
63618605;1.543;2.537;1.495;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.46;0.00
63618615;1.875;3.136;1.773;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.46;0.00
63618625;1.709;2.822;1.636;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.46;0.00
63618635;1.579;2.494;1.511;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.46;0.00
63618645;1.946;3.304;1.847;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.46;0.00
63618655;1.792;2.983;1.691;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.46;0.00
63618665;1.638;2.560;1.527;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.46;0.00
63618675;1.725;2.748;1.605;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.46;0.00
63618685;1.744;2.764;1.597;0.000;31.1;31.1;31.1;31.1;12.54;12.47;12.46;0.00
63618695;1.728;2.767;1.585;0.000;31.1;31.1;31.1;31.1;12.51;12.45;12.40;0.00
