20160121_140442;MEM2.1;CPU2;MEM2.2;-;T1;T2;T3;T4;V1;V2;V3;V4;
50682663;1.444;2.142;1.312;0.000;31.1;31.1;31.1;31.1;12.47;12.43;12.43;0.00;
50682673;1.311;1.892;1.218;0.000;31.1;31.1;31.1;31.1;12.47;12.43;12.43;0.00;
50682683;1.318;1.896;1.195;0.000;31.1;31.1;31.1;31.1;12.47;12.43;12.43;0.00;
50682693;1.483;2.318;1.327;0.000;31.1;31.1;31.1;31.1;12.47;12.43;12.43;0.00;
50682703;1.287;1.916;1.210;0.000;31.1;31.1;31.1;31.1;12.47;12.43;12.43;0.00;
50682713;1.448;2.423;1.425;0.000;31.1;31.1;31.1;31.1;12.47;12.43;12.43;0.00;
50682723;1.428;2.208;1.335;0.000;31.1;31.1;31.1;31.1;12.47;12.43;12.43;0.00;
50682733;1.581;2.571;1.523;0.000;31.1;31.1;31.1;31.1;12.47;12.43;12.43;0.00;
50682743;1.432;2.165;1.300;0.000;31.1;31.1;31.1;31.1;12.47;12.43;12.43;0.00;
50682753;1.497;2.341;1.389;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.42;0.00;
50682763;1.462;2.251;1.369;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.42;0.00;
50682773;1.434;2.126;1.342;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.42;0.00;
50682783;1.320;1.935;1.225;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.42;0.00;
50682793;2.187;3.656;2.118;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.42;0.00;
50682803;3.448;6.180;3.285;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.42;0.00;
50682813;3.369;6.161;3.203;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.42;0.00;
50682823;3.373;6.169;3.199;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.42;0.00;
50682833;3.377;6.161;3.211;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.42;0.00;
50682843;3.381;6.157;3.242;0.000;31.1;31.1;31.1;31.1;12.52;12.43;12.42;0.00;
50682853;3.361;6.181;3.238;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.45;0.00;
50682863;3.365;6.185;3.226;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.45;0.00;
50682873;3.393;6.193;3.266;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.45;0.00;
50682883;3.365;6.181;3.223;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.45;0.00;
50682893;3.357;6.166;3.242;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.45;0.00;
50682903;3.381;6.170;3.250;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.45;0.00;
50682913;3.389;6.173;3.254;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.45;0.00;
50682923;3.369;6.170;3.242;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.45;0.00;
50682933;3.349;6.173;3.226;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.45;0.00;
50682943;3.365;6.177;3.273;0.000;31.1;31.1;31.1;31.1;12.52;12.47;12.45;0.00;
50682953;3.386;6.155;3.268;0.000;31.1;31.1;31.1;31.1;12.54;12.48;12.46;0.00;
50682963;3.378;6.171;3.202;0.000;31.1;31.1;31.1;31.1;12.54;12.48;12.46;0.00;
50682973;3.359;6.179;3.206;0.000;31.1;31.1;31.1;31.1;12.54;12.48;12.46;0.00;
50682983;3.363;6.167;3.272;0.000;31.1;31.1;31.1;31.1;12.54;12.48;12.46;0.00;
50682993;3.359;6.175;3.245;0.000;31.1;31.1;31.1;31.1;12.54;12.48;12.46;0.00;
50683003;3.367;6.194;3.229;0.000;31.1;31.1;31.1;31.1;12.54;12.48;12.46;0.00;
50683013;3.378;6.202;3.233;0.000;31.1;31.1;31.1;31.1;12.54;12.48;12.46;0.00;
50683023;3.378;6.190;3.210;0.000;31.1;31.1;31.1;31.1;12.54;12.48;12.46;0.00;
50683033;2.621;4.607;2.470;0.000;31.1;31.1;31.1;31.1;12.54;12.48;12.46;0.00;
